cohort_ym,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08
2017-01,1.0,0.003,0.003,0.001,0.004,0.001,0.004,0.001,0.001,,0.004,0.001,0.007,0.004,0.001,0.001,0.003,0.004,,0.001
2017-02,,1.0,0.002,0.003,0.001,0.004,0.001,0.002,0.002,0.001,0.002,0.001,0.003,0.001,0.002,0.001,0.001,0.001,0.002,
2017-03,,,1.0,0.004,0.004,0.004,0.004,0.002,0.002,0.003,0.003,0.001,0.004,0.001,0.002,0.001,0.002,0.002,0.001,0.001
2017-04,,,,1.0,0.006,0.002,0.002,0.003,0.003,0.004,0.003,0.003,0.002,0.003,0.001,0.0,0.0,0.001,0.001,0.001
2017-05,,,,,1.0,0.005,0.005,0.003,0.003,0.003,0.004,0.001,0.003,0.003,0.003,0.003,0.002,0.0,0.002,0.002
2017-06,,,,,,1.0,0.005,0.004,0.004,0.003,0.004,0.004,0.002,0.001,0.002,0.003,0.004,0.002,0.002,0.002
2017-07,,,,,,,1.0,0.005,0.003,0.002,0.003,0.002,0.003,0.001,0.002,0.003,0.002,0.003,0.001,0.002
2017-08,,,,,,,,1.0,0.007,0.003,0.003,0.003,0.005,0.003,0.003,0.001,0.001,0.002,0.002,0.001
2017-09,,,,,,,,,1.0,0.007,0.005,0.003,0.004,0.002,0.002,0.002,0.003,0.002,0.002,0.001
2017-10,,,,,,,,,,1.0,0.007,0.003,0.001,0.002,0.002,0.002,0.004,0.003,0.002,0.002
2017-11,,,,,,,,,,,1.0,0.006,0.004,0.002,0.002,0.002,0.001,0.002,0.001,0.001
2017-12,,,,,,,,,,,,1.0,0.002,0.003,0.003,0.003,0.002,0.002,0.0,0.002
2018-01,,,,,,,,,,,,,1.0,0.003,0.004,0.003,0.003,0.002,0.002,0.002
2018-02,,,,,,,,,,,,,,1.0,0.003,0.004,0.003,0.003,0.002,0.002
2018-03,,,,,,,,,,,,,,,1.0,0.004,0.003,0.003,0.001,0.001
2018-04,,,,,,,,,,,,,,,,1.0,0.006,0.003,0.002,0.001
2018-05,,,,,,,,,,,,,,,,,1.0,0.005,0.003,0.002
2018-06,,,,,,,,,,,,,,,,,,1.0,0.004,0.003
2018-07,,,,,,,,,,,,,,,,,,,1.0,0.005
2018-08,,,,,,,,,,,,,,,,,,,,1.0
