stage,segment,客户数,客单中位,客单均值,平均件数,分期中位,配送均天,准时率,评分均值,周末占比,Top1品类占比,平均品类数,覆盖州数,Top1品类(最常见),Top1州(最常见)
单次购买,待培育新客,22274,62.049,62.049,1.049,1.906,10.543,0.912,4.178,0.222,0.999,1.002,27,health_beauty,SP
单次购买,流失观望,22891,62.744,62.744,1.048,2.129,11.857,0.945,4.186,0.235,0.999,1.002,27,bed_bath_table,SP
单次购买,高价值唤醒,22122,260.098,260.098,1.228,3.941,13.53,0.931,4.079,0.234,0.994,1.012,27,bed_bath_table,SP
单次购买,高潜新客,23028,257.961,257.961,1.224,3.634,12.432,0.906,4.058,0.228,0.994,1.014,27,health_beauty,SP
复购客户,一般价值客户,30,51.859,56.6,1.044,1.4,9.767,0.967,4.578,0.311,0.673,2.033,8,home_appliances,SP
复购客户,一般保持客户,28,42.968,48.782,1.048,1.929,10.241,0.952,4.607,0.214,0.658,2.071,9,bed_bath_table,SP
复购客户,一般发展客户,639,73.121,73.121,1.095,2.448,11.146,0.923,4.268,0.228,0.717,1.598,23,bed_bath_table,SP
复购客户,一般挽留客户,711,72.008,72.008,1.091,2.695,11.979,0.953,4.155,0.238,0.765,1.495,22,bed_bath_table,SP
复购客户,重要价值客户,106,155.101,182.311,1.42,3.788,11.881,0.923,4.299,0.228,0.638,2.472,17,bed_bath_table,SP
复购客户,重要保持客户,67,183.916,185.117,1.301,3.612,12.58,0.937,4.219,0.237,0.72,1.955,14,bed_bath_table,SP
复购客户,重要发展客户,643,222.189,222.189,1.365,3.753,12.033,0.903,4.054,0.227,0.731,1.635,25,bed_bath_table,SP
复购客户,重要挽留客户,602,226.963,226.963,1.292,4.424,12.563,0.95,4.103,0.238,0.757,1.55,24,bed_bath_table,SP
