ym,新客首单,老客复购,新客数,复购单数,新客首单占比%
2017-01,124616.53,2865.84,718,32,97.8
2017-02,267949.17,3290.15,1628,25,98.8
2017-03,409564.01,4766.94,2503,43,98.8
2017-04,383596.43,7215.97,2257,46,98.2
2017-05,551258.42,15592.98,3451,95,97.2
2017-06,477836.48,12213.89,3037,98,97.5
2017-07,550711.12,15587.960000000001,3753,119,97.2
2017-08,624378.33,21454.03,4057,136,96.7
2017-09,679906.25,21171.24,4005,145,97.0
2017-10,730668.67,20448.34,4328,150,97.3
2017-11,1122099.86,31264.34,7061,228,97.3
2017-12,813895.23,29183.06,5338,175,96.5
2018-01,1044572.72,33314.74,6843,226,96.9
2018-02,930421.12,35747.29,6288,267,96.3
2018-03,1087653.46,32944.78,6775,228,97.1
2018-04,1100017.07,32861.86,6582,216,97.1
2018-05,1090354.57,38419.95,6508,241,96.6
2018-06,977889.57,34088.72,5879,220,96.6
2018-07,995892.38,31914.9,5949,210,96.9
2018-08,954379.97,31111.670000000002,6144,207,96.8
