类别,单次,复购,单次占比,复购占比,变量
bed_bath_table,8398,505,0.09298566129657311,0.18106848332735748,Top1品类
health_beauty,8106,234,0.08975253280186016,0.08390103979921118,Top1品类
sports_leisure,6894,218,0.0763328350772297,0.07816421656507709,Top1品类
computers_accessories,6114,228,0.06769639594751703,0.0817497310864109,Top1品类
furniture_decor,5609,291,0.062104855228921,0.10433847257081391,Top1品类
housewares,5330,130,0.05901566738636993,0.046611688777339545,Top1品类
watches_gifts,5185,64,0.05741017549687206,0.022947292936536395,Top1品类
telephony,3881,58,0.042971820849249845,0.020795984223736106,Top1品类
auto,3632,105,0.04021480374245696,0.03764790247400502,Top1品类
toys,3549,43,0.03929579804019266,0.01541771244173539,Top1品类
cool_stuff,3386,64,0.037491003709239884,0.022947292936536395,Top1品类
garden_tools,3227,78,0.03573049880972153,0.027967013266403728,Top1品类
其他,27004,771,0.29899795161379616,0.27644316959483684,Top1品类
SP,37839,1216,0.41896694901179204,0.43599856579419144,客户州
RJ,11488,387,0.12719924707966562,0.1387594119756185,客户州
MG,10645,321,0.11786524940486076,0.11509501613481535,客户州
RS,4992,158,0.055273210430161104,0.05665112943707422,客户州
PR,4609,140,0.05103249737031501,0.05019720329867336,客户州
SC,3345,91,0.037037037037037035,0.032628182144137687,客户州
BA,3065,90,0.03393677683662736,0.0322696306920043,客户州
DF,1952,60,0.021613242539998894,0.02151308712800287,客户州
其他,12380,326,0.13707579028954217,0.11688777339548226,客户州
